,PKB14,PKB42,PKB48,PKB51,PKB69,PKB98,PKB106,PKB130,PKB206,PKB233
PKB14,32.0,14.0,17.0,18.0,19.0,20.0,20.0,17.0,15.0,20.0
PKB42,14.0,31.0,19.0,20.0,19.0,16.0,22.0,18.0,13.0,22.0
PKB48,17.0,19.0,60.0,24.0,26.0,34.0,26.0,20.0,20.0,32.0
PKB51,18.0,20.0,24.0,48.0,23.0,21.0,27.0,18.0,18.0,26.0
PKB69,19.0,19.0,26.0,23.0,53.0,25.0,28.0,20.0,16.0,29.0
PKB98,20.0,16.0,34.0,21.0,25.0,51.0,27.0,19.0,23.0,28.0
PKB106,20.0,22.0,26.0,27.0,28.0,27.0,52.0,18.0,20.0,30.0
PKB130,17.0,18.0,20.0,18.0,20.0,19.0,18.0,35.0,13.0,21.0
PKB206,15.0,13.0,20.0,18.0,16.0,23.0,20.0,13.0,37.0,21.0
PKB233,20.0,22.0,32.0,26.0,29.0,28.0,30.0,21.0,21.0,56.0
