,PKB69,PKB206,PKB51,PKB106,PKB48,PKB98,PKB14,PKB130,PKB233,PKB42,PKB6,PKB4,PKB179,PKB46,PKB161,PKB20,PKB105,PKB70,PKB24,PKB91,PKB68,PKB159,PKB7,PKB77,PKB10,PKB8,PKB240,PKB103,PKB89,PKB137,PKB52,PKB248,PKB49,PKB32,PKB241,PKB128,PKB22,PKB50,PKB140,PKB43,PKB67,PKB79,PKB247,PKB16,PKB180,PKB177,PKB172,PKB136,PKB207,PKB119,PKB218,PKB38,PKB104,PKB15,PKB11,PKB171,PKB162,PKB242,PKB120,PKB158,PKB101,PKB142,PKB102,PKB100,PKB44,PKB135,PKB191,PKB13,PKB9,PKB160,PKB90,PKB236
PKB69,77.0,30.0,39.0,42.0,39.0,38.0,29.0,29.0,41.0,28.0,30.0,36.0,47.0,30.0,20.0,26.0,26.0,42.0,27.0,26.0,42.0,22.0,31.0,47.0,27.0,28.0,29.0,22.0,28.0,54.0,42.0,41.0,28.0,25.0,28.0,42.0,28.0,41.0,48.0,29.0,26.0,40.0,18.0,29.0,44.0,45.0,27.0,54.0,33.0,22.0,43.0,28.0,22.0,28.0,29.0,50.0,30.0,27.0,26.0,21.0,23.0,46.0,19.0,27.0,29.0,54.0,51.0,32.0,30.0,25.0,19.0,55.0
PKB206,30.0,56.0,30.0,30.0,33.0,33.0,21.0,21.0,32.0,18.0,23.0,30.0,33.0,23.0,14.0,21.0,17.0,29.0,22.0,18.0,31.0,18.0,24.0,31.0,20.0,22.0,21.0,17.0,20.0,39.0,30.0,29.0,21.0,20.0,20.0,31.0,21.0,23.0,29.0,19.0,16.0,34.0,15.0,23.0,27.0,31.0,15.0,39.0,44.0,15.0,32.0,20.0,15.0,22.0,21.0,32.0,20.0,20.0,16.0,14.0,18.0,31.0,15.0,17.0,20.0,37.0,34.0,23.0,23.0,12.0,17.0,33.0
PKB51,39.0,30.0,60.0,37.0,37.0,32.0,27.0,27.0,39.0,27.0,29.0,35.0,40.0,27.0,18.0,25.0,25.0,39.0,25.0,24.0,36.0,20.0,27.0,37.0,25.0,27.0,28.0,19.0,23.0,42.0,36.0,39.0,26.0,24.0,25.0,39.0,26.0,34.0,35.0,29.0,23.0,36.0,17.0,28.0,37.0,36.0,22.0,42.0,31.0,20.0,40.0,25.0,22.0,27.0,27.0,39.0,26.0,24.0,24.0,21.0,23.0,38.0,18.0,26.0,26.0,42.0,40.0,29.0,29.0,19.0,20.0,41.0
PKB106,42.0,30.0,37.0,75.0,39.0,38.0,27.0,29.0,48.0,29.0,28.0,38.0,47.0,30.0,19.0,29.0,28.0,41.0,28.0,26.0,42.0,20.0,30.0,42.0,28.0,27.0,31.0,20.0,26.0,51.0,42.0,41.0,28.0,24.0,28.0,43.0,28.0,38.0,40.0,29.0,27.0,45.0,17.0,30.0,41.0,45.0,23.0,52.0,33.0,21.0,48.0,28.0,20.0,27.0,30.0,52.0,28.0,29.0,25.0,20.0,22.0,44.0,18.0,28.0,29.0,51.0,49.0,28.0,28.0,19.0,20.0,49.0
PKB48,39.0,33.0,37.0,39.0,75.0,50.0,30.0,31.0,45.0,29.0,31.0,37.0,44.0,29.0,17.0,29.0,25.0,43.0,29.0,24.0,40.0,21.0,31.0,40.0,29.0,30.0,29.0,20.0,25.0,53.0,35.0,38.0,27.0,29.0,25.0,39.0,28.0,38.0,35.0,29.0,21.0,51.0,19.0,29.0,43.0,41.0,20.0,53.0,38.0,19.0,45.0,28.0,18.0,30.0,29.0,49.0,26.0,26.0,24.0,20.0,23.0,40.0,17.0,25.0,29.0,52.0,45.0,31.0,31.0,19.0,18.0,45.0
PKB98,38.0,33.0,32.0,38.0,50.0,77.0,31.0,29.0,46.0,26.0,33.0,35.0,43.0,29.0,14.0,29.0,24.0,37.0,29.0,22.0,39.0,21.0,33.0,34.0,28.0,29.0,29.0,21.0,23.0,52.0,32.0,36.0,24.0,31.0,23.0,38.0,29.0,41.0,35.0,23.0,23.0,50.0,20.0,35.0,42.0,44.0,16.0,54.0,37.0,19.0,45.0,32.0,18.0,32.0,32.0,48.0,22.0,27.0,21.0,17.0,22.0,38.0,18.0,22.0,29.0,53.0,45.0,33.0,33.0,16.0,18.0,44.0
PKB14,29.0,21.0,27.0,27.0,30.0,31.0,49.0,23.0,29.0,22.0,35.0,26.0,31.0,20.0,16.0,25.0,20.0,27.0,26.0,20.0,30.0,19.0,30.0,27.0,28.0,35.0,23.0,19.0,20.0,34.0,25.0,28.0,20.0,33.0,19.0,28.0,27.0,30.0,27.0,22.0,18.0,30.0,20.0,30.0,31.0,33.0,13.0,34.0,25.0,16.0,32.0,28.0,15.0,42.0,29.0,32.0,19.0,22.0,18.0,16.0,18.0,28.0,14.0,20.0,19.0,33.0,33.0,36.0,35.0,15.0,18.0,29.0
PKB130,29.0,21.0,27.0,29.0,31.0,29.0,23.0,48.0,29.0,26.0,27.0,23.0,32.0,22.0,16.0,23.0,20.0,29.0,24.0,21.0,31.0,18.0,27.0,28.0,27.0,25.0,22.0,19.0,21.0,31.0,27.0,29.0,22.0,24.0,20.0,30.0,27.0,29.0,30.0,25.0,21.0,28.0,15.0,29.0,34.0,26.0,17.0,33.0,23.0,20.0,29.0,28.0,19.0,22.0,27.0,31.0,23.0,20.0,20.0,18.0,20.0,32.0,16.0,23.0,20.0,32.0,32.0,25.0,27.0,19.0,16.0,30.0
PKB233,41.0,32.0,39.0,48.0,45.0,46.0,29.0,29.0,90.0,33.0,28.0,38.0,50.0,34.0,17.0,28.0,25.0,43.0,28.0,27.0,45.0,22.0,31.0,42.0,31.0,29.0,34.0,22.0,26.0,58.0,42.0,41.0,29.0,28.0,27.0,46.0,29.0,41.0,46.0,33.0,23.0,45.0,19.0,30.0,47.0,49.0,22.0,62.0,33.0,19.0,73.0,29.0,23.0,30.0,29.0,54.0,27.0,27.0,24.0,20.0,25.0,46.0,15.0,28.0,33.0,60.0,53.0,27.0,28.0,19.0,18.0,52.0
PKB42,28.0,18.0,27.0,29.0,29.0,26.0,22.0,26.0,33.0,46.0,22.0,29.0,29.0,26.0,15.0,22.0,18.0,29.0,23.0,20.0,27.0,18.0,24.0,29.0,23.0,26.0,32.0,16.0,16.0,30.0,26.0,27.0,23.0,20.0,17.0,28.0,25.0,27.0,27.0,41.0,17.0,30.0,15.0,23.0,30.0,29.0,16.0,33.0,21.0,16.0,30.0,22.0,14.0,25.0,22.0,30.0,19.0,20.0,15.0,17.0,17.0,28.0,10.0,20.0,29.0,32.0,27.0,21.0,22.0,17.0,16.0,29.0
