,PKB4,PKB6,PKB7,PKB8,PKB9,PKB10,PKB11,PKB13,PKB14,PKB15,PKB16,PKB20,PKB22,PKB24,PKB32,PKB38,PKB42,PKB43,PKB44,PKB46,PKB48,PKB49,PKB50,PKB51,PKB52,PKB67,PKB68,PKB69,PKB70,PKB77,PKB79,PKB89,PKB90,PKB91,PKB98,PKB100,PKB101,PKB102,PKB103,PKB104,PKB105,PKB106,PKB119,PKB120,PKB128,PKB130,PKB135,PKB136,PKB137,PKB140,PKB142,PKB158,PKB159,PKB160,PKB161,PKB162,PKB171,PKB172,PKB177,PKB179,PKB180,PKB191,PKB206,PKB207,PKB218,PKB233,PKB236,PKB240,PKB241,PKB242,PKB247,PKB248
PKB4,42.0,16.0,16.0,16.0,16.0,17.0,15.0,17.0,17.0,16.0,15.0,16.0,16.0,15.0,16.0,18.0,20.0,19.0,19.0,19.0,22.0,18.0,21.0,24.0,20.0,16.0,21.0,25.0,22.0,23.0,21.0,15.0,13.0,13.0,21.0,14.0,14.0,9.0,11.0,11.0,13.0,24.0,10.0,15.0,23.0,15.0,30.0,30.0,31.0,21.0,22.0,13.0,15.0,14.0,13.0,18.0,26.0,11.0,23.0,23.0,25.0,25.0,17.0,21.0,24.0,25.0,26.0,21.0,16.0,14.0,11.0,20.0
PKB6,16.0,39.0,24.0,20.0,39.0,21.0,25.0,34.0,21.0,20.0,24.0,20.0,17.0,20.0,24.0,20.0,15.0,16.0,13.0,15.0,22.0,14.0,21.0,21.0,17.0,11.0,24.0,20.0,23.0,21.0,20.0,16.0,11.0,14.0,22.0,17.0,13.0,11.0,13.0,12.0,15.0,21.0,11.0,14.0,21.0,17.0,24.0,23.0,26.0,19.0,19.0,12.0,13.0,13.0,11.0,15.0,25.0,10.0,24.0,22.0,23.0,25.0,17.0,14.0,19.0,19.0,23.0,16.0,15.0,17.0,12.0,22.0
PKB7,16.0,24.0,45.0,23.0,24.0,19.0,23.0,30.0,22.0,25.0,26.0,19.0,19.0,20.0,24.0,24.0,15.0,16.0,14.0,15.0,22.0,14.0,18.0,19.0,19.0,14.0,20.0,22.0,20.0,19.0,21.0,12.0,11.0,15.0,22.0,14.0,12.0,9.0,11.0,12.0,13.0,19.0,14.0,12.0,19.0,19.0,26.0,24.0,24.0,19.0,20.0,11.0,13.0,11.0,13.0,14.0,24.0,11.0,23.0,24.0,21.0,25.0,15.0,14.0,20.0,20.0,22.0,15.0,13.0,15.0,13.0,20.0
PKB8,16.0,20.0,23.0,37.0,20.0,26.0,19.0,20.0,25.0,29.0,19.0,19.0,20.0,20.0,21.0,20.0,16.0,17.0,15.0,16.0,20.0,14.0,18.0,19.0,19.0,11.0,21.0,19.0,20.0,19.0,18.0,13.0,12.0,17.0,19.0,16.0,13.0,11.0,12.0,11.0,13.0,18.0,13.0,12.0,21.0,17.0,24.0,24.0,25.0,20.0,21.0,13.0,13.0,11.0,11.0,12.0,22.0,11.0,23.0,23.0,19.0,23.0,15.0,17.0,20.0,21.0,23.0,15.0,14.0,16.0,12.0,19.0
PKB9,16.0,39.0,24.0,20.0,39.0,21.0,25.0,34.0,21.0,20.0,24.0,20.0,17.0,20.0,24.0,20.0,15.0,16.0,13.0,15.0,22.0,14.0,21.0,21.0,17.0,11.0,24.0,20.0,23.0,21.0,20.0,16.0,11.0,14.0,22.0,17.0,13.0,11.0,13.0,12.0,15.0,21.0,11.0,14.0,21.0,17.0,24.0,23.0,26.0,19.0,19.0,12.0,13.0,13.0,11.0,15.0,25.0,10.0,24.0,22.0,23.0,25.0,17.0,14.0,19.0,19.0,23.0,16.0,15.0,17.0,12.0,22.0
PKB10,17.0,21.0,19.0,26.0,21.0,39.0,20.0,20.0,15.0,19.0,21.0,18.0,20.0,21.0,21.0,20.0,17.0,16.0,13.0,14.0,21.0,14.0,19.0,20.0,21.0,12.0,20.0,18.0,21.0,20.0,20.0,14.0,10.0,16.0,21.0,14.0,15.0,10.0,14.0,12.0,15.0,21.0,11.0,15.0,18.0,21.0,25.0,24.0,26.0,22.0,21.0,12.0,13.0,13.0,10.0,14.0,25.0,12.0,22.0,23.0,22.0,23.0,13.0,15.0,21.0,22.0,23.0,13.0,15.0,16.0,13.0,19.0
PKB11,15.0,25.0,23.0,19.0,25.0,20.0,39.0,26.0,18.0,16.0,32.0,17.0,16.0,15.0,20.0,17.0,15.0,14.0,12.0,13.0,19.0,16.0,21.0,18.0,18.0,15.0,19.0,19.0,20.0,18.0,19.0,14.0,9.0,14.0,21.0,15.0,12.0,9.0,13.0,13.0,13.0,20.0,13.0,12.0,18.0,19.0,25.0,24.0,23.0,19.0,20.0,12.0,12.0,14.0,11.0,14.0,21.0,12.0,21.0,24.0,22.0,21.0,13.0,14.0,19.0,20.0,25.0,14.0,18.0,15.0,11.0,18.0
PKB13,17.0,34.0,30.0,20.0,34.0,20.0,26.0,43.0,22.0,21.0,22.0,19.0,16.0,19.0,21.0,18.0,14.0,14.0,13.0,14.0,22.0,13.0,18.0,22.0,17.0,13.0,22.0,22.0,21.0,20.0,20.0,16.0,10.0,14.0,21.0,15.0,13.0,12.0,12.0,13.0,16.0,21.0,12.0,14.0,20.0,17.0,24.0,22.0,24.0,19.0,21.0,13.0,13.0,12.0,12.0,16.0,26.0,12.0,23.0,22.0,23.0,24.0,15.0,15.0,19.0,19.0,24.0,16.0,18.0,18.0,11.0,20.0
PKB14,17.0,21.0,22.0,25.0,21.0,15.0,18.0,22.0,32.0,28.0,18.0,17.0,17.0,21.0,23.0,18.0,14.0,16.0,14.0,15.0,17.0,14.0,18.0,18.0,17.0,10.0,22.0,19.0,19.0,16.0,18.0,15.0,11.0,15.0,20.0,13.0,12.0,11.0,10.0,11.0,15.0,20.0,11.0,11.0,21.0,17.0,23.0,26.0,23.0,17.0,20.0,13.0,14.0,12.0,10.0,11.0,23.0,8.0,24.0,23.0,19.0,21.0,15.0,15.0,19.0,20.0,21.0,16.0,13.0,14.0,11.0,17.0
PKB15,16.0,20.0,25.0,29.0,20.0,19.0,16.0,21.0,28.0,35.0,16.0,16.0,19.0,19.0,22.0,19.0,15.0,16.0,15.0,14.0,18.0,15.0,17.0,17.0,18.0,10.0,21.0,19.0,18.0,15.0,20.0,11.0,11.0,15.0,20.0,12.0,11.0,9.0,11.0,9.0,14.0,18.0,12.0,10.0,19.0,14.0,24.0,22.0,24.0,18.0,21.0,13.0,12.0,9.0,10.0,11.0,22.0,8.0,24.0,24.0,20.0,23.0,14.0,17.0,21.0,22.0,20.0,17.0,10.0,15.0,12.0,16.0
PKB16,15.0,24.0,26.0,19.0,24.0,21.0,32.0,22.0,18.0,16.0,39.0,14.0,18.0,16.0,20.0,17.0,16.0,16.0,14.0,14.0,19.0,15.0,22.0,17.0,17.0,16.0,19.0,19.0,19.0,18.0,18.0,12.0,9.0,12.0,21.0,14.0,14.0,10.0,13.0,10.0,16.0,19.0,10.0,11.0,17.0,20.0,23.0,24.0,22.0,19.0,18.0,11.0,13.0,12.0,10.0,11.0,21.0,9.0,21.0,22.0,22.0,21.0,12.0,15.0,21.0,20.0,22.0,13.0,16.0,13.0,12.0,18.0
PKB20,16.0,20.0,19.0,19.0,20.0,18.0,17.0,19.0,17.0,16.0,14.0,38.0,23.0,34.0,18.0,20.0,16.0,15.0,16.0,15.0,21.0,14.0,18.0,19.0,16.0,9.0,18.0,18.0,18.0,18.0,20.0,12.0,8.0,13.0,20.0,13.0,13.0,8.0,12.0,10.0,17.0,22.0,9.0,10.0,20.0,15.0,25.0,26.0,23.0,16.0,19.0,11.0,12.0,10.0,9.0,13.0,22.0,9.0,21.0,21.0,21.0,20.0,15.0,15.0,22.0,22.0,20.0,15.0,13.0,15.0,11.0,16.0
PKB22,16.0,17.0,19.0,20.0,17.0,20.0,16.0,16.0,17.0,19.0,18.0,23.0,38.0,22.0,16.0,21.0,20.0,19.0,16.0,18.0,18.0,15.0,19.0,19.0,18.0,13.0,18.0,20.0,18.0,18.0,17.0,14.0,11.0,16.0,19.0,14.0,12.0,8.0,15.0,11.0,13.0,20.0,12.0,10.0,16.0,22.0,23.0,22.0,23.0,18.0,20.0,12.0,14.0,12.0,9.0,13.0,20.0,10.0,20.0,21.0,20.0,21.0,12.0,15.0,22.0,22.0,20.0,17.0,14.0,13.0,11.0,18.0
PKB24,15.0,20.0,20.0,20.0,20.0,21.0,15.0,19.0,21.0,19.0,16.0,34.0,22.0,41.0,18.0,19.0,19.0,17.0,16.0,15.0,20.0,13.0,18.0,18.0,18.0,9.0,18.0,18.0,20.0,18.0,20.0,12.0,10.0,13.0,20.0,13.0,12.0,9.0,10.0,12.0,19.0,19.0,11.0,11.0,21.0,16.0,25.0,26.0,24.0,17.0,20.0,12.0,13.0,10.0,11.0,13.0,22.0,10.0,21.0,22.0,21.0,20.0,14.0,15.0,21.0,22.0,21.0,14.0,12.0,16.0,13.0,18.0
PKB32,16.0,24.0,24.0,21.0,24.0,21.0,20.0,21.0,23.0,22.0,20.0,18.0,16.0,18.0,40.0,23.0,14.0,15.0,11.0,12.0,19.0,15.0,19.0,17.0,16.0,9.0,22.0,16.0,18.0,18.0,19.0,13.0,10.0,13.0,20.0,14.0,11.0,9.0,12.0,12.0,14.0,15.0,11.0,10.0,17.0,16.0,22.0,23.0,24.0,16.0,20.0,13.0,12.0,14.0,12.0,14.0,21.0,10.0,23.0,22.0,21.0,20.0,15.0,14.0,18.0,19.0,21.0,14.0,13.0,14.0,14.0,17.0
PKB38,18.0,20.0,24.0,20.0,20.0,20.0,17.0,18.0,18.0,19.0,17.0,20.0,21.0,19.0,23.0,35.0,16.0,17.0,13.0,13.0,20.0,13.0,21.0,18.0,16.0,13.0,21.0,19.0,19.0,20.0,19.0,17.0,10.0,13.0,19.0,13.0,11.0,11.0,11.0,12.0,13.0,19.0,11.0,14.0,18.0,18.0,24.0,25.0,24.0,17.0,20.0,13.0,13.0,14.0,11.0,14.0,23.0,12.0,23.0,24.0,21.0,22.0,13.0,16.0,18.0,19.0,23.0,14.0,12.0,15.0,10.0,22.0
PKB42,20.0,15.0,15.0,16.0,15.0,17.0,15.0,14.0,14.0,15.0,16.0,16.0,20.0,19.0,14.0,16.0,31.0,28.0,21.0,20.0,19.0,16.0,18.0,20.0,17.0,13.0,18.0,19.0,19.0,20.0,19.0,11.0,11.0,15.0,16.0,14.0,11.0,8.0,11.0,11.0,15.0,22.0,13.0,10.0,18.0,18.0,24.0,24.0,25.0,17.0,23.0,11.0,13.0,14.0,10.0,15.0,22.0,11.0,19.0,20.0,21.0,21.0,13.0,14.0,20.0,22.0,20.0,20.0,13.0,15.0,10.0,19.0
PKB43,19.0,16.0,16.0,17.0,16.0,16.0,14.0,14.0,16.0,16.0,16.0,15.0,19.0,17.0,15.0,17.0,28.0,31.0,21.0,23.0,19.0,14.0,18.0,21.0,19.0,15.0,19.0,21.0,21.0,19.0,19.0,14.0,11.0,16.0,16.0,13.0,11.0,8.0,11.0,11.0,16.0,20.0,14.0,11.0,19.0,18.0,24.0,25.0,24.0,20.0,24.0,12.0,15.0,15.0,12.0,16.0,22.0,12.0,21.0,22.0,21.0,21.0,13.0,14.0,20.0,21.0,21.0,20.0,13.0,15.0,11.0,19.0
PKB44,19.0,13.0,14.0,15.0,13.0,13.0,12.0,13.0,14.0,15.0,14.0,16.0,16.0,16.0,11.0,13.0,21.0,21.0,31.0,27.0,20.0,16.0,17.0,15.0,20.0,13.0,14.0,17.0,19.0,16.0,19.0,10.0,8.0,12.0,19.0,13.0,9.0,7.0,9.0,9.0,11.0,21.0,10.0,8.0,17.0,13.0,23.0,23.0,24.0,15.0,20.0,7.0,12.0,8.0,6.0,10.0,21.0,7.0,20.0,20.0,20.0,20.0,13.0,13.0,20.0,21.0,19.0,26.0,12.0,12.0,8.0,16.0
PKB46,19.0,15.0,15.0,16.0,15.0,14.0,13.0,14.0,15.0,14.0,14.0,15.0,18.0,15.0,12.0,13.0,20.0,23.0,27.0,32.0,19.0,15.0,17.0,17.0,21.0,13.0,16.0,19.0,19.0,17.0,18.0,12.0,9.0,12.0,21.0,14.0,12.0,8.0,11.0,10.0,11.0,21.0,11.0,8.0,18.0,15.0,24.0,24.0,24.0,17.0,21.0,10.0,13.0,10.0,9.0,12.0,21.0,8.0,21.0,21.0,22.0,20.0,16.0,15.0,22.0,22.0,19.0,22.0,13.0,12.0,10.0,17.0
PKB48,22.0,22.0,22.0,20.0,22.0,21.0,19.0,22.0,17.0,18.0,19.0,21.0,18.0,20.0,19.0,20.0,19.0,19.0,20.0,19.0,60.0,18.0,23.0,24.0,23.0,14.0,26.0,26.0,26.0,24.0,33.0,17.0,11.0,17.0,34.0,15.0,15.0,11.0,14.0,13.0,16.0,26.0,11.0,16.0,25.0,20.0,35.0,37.0,37.0,23.0,28.0,13.0,14.0,13.0,10.0,20.0,33.0,13.0,28.0,31.0,29.0,29.0,20.0,20.0,29.0,32.0,30.0,18.0,18.0,17.0,13.0,25.0
PKB49,18.0,14.0,14.0,14.0,14.0,14.0,16.0,13.0,14.0,15.0,15.0,14.0,15.0,13.0,15.0,13.0,16.0,14.0,16.0,15.0,18.0,34.0,17.0,18.0,16.0,14.0,16.0,20.0,17.0,18.0,16.0,13.0,10.0,12.0,15.0,13.0,13.0,7.0,13.0,11.0,12.0,19.0,11.0,11.0,16.0,15.0,19.0,19.0,20.0,15.0,17.0,12.0,12.0,10.0,9.0,14.0,19.0,9.0,17.0,19.0,17.0,20.0,12.0,14.0,18.0,20.0,19.0,15.0,16.0,11.0,11.0,21.0
PKB50,21.0,21.0,18.0,18.0,21.0,19.0,21.0,18.0,18.0,17.0,22.0,18.0,19.0,18.0,19.0,21.0,18.0,18.0,17.0,17.0,23.0,17.0,49.0,24.0,21.0,21.0,27.0,25.0,28.0,28.0,23.0,19.0,10.0,15.0,26.0,20.0,15.0,13.0,12.0,14.0,14.0,25.0,12.0,15.0,21.0,20.0,34.0,40.0,37.0,24.0,25.0,15.0,12.0,18.0,11.0,18.0,31.0,14.0,32.0,29.0,30.0,32.0,13.0,17.0,27.0,24.0,35.0,19.0,17.0,16.0,11.0,27.0
PKB51,24.0,21.0,19.0,19.0,21.0,20.0,18.0,22.0,18.0,17.0,17.0,19.0,19.0,18.0,17.0,18.0,20.0,21.0,15.0,17.0,24.0,18.0,24.0,48.0,22.0,13.0,23.0,23.0,28.0,23.0,23.0,16.0,13.0,16.0,21.0,18.0,15.0,11.0,14.0,15.0,18.0,27.0,13.0,15.0,25.0,18.0,28.0,32.0,28.0,24.0,26.0,15.0,15.0,14.0,13.0,19.0,27.0,14.0,26.0,27.0,25.0,30.0,18.0,18.0,25.0,26.0,28.0,20.0,18.0,17.0,13.0,23.0
PKB52,20.0,17.0,19.0,19.0,17.0,21.0,18.0,17.0,17.0,18.0,17.0,16.0,18.0,18.0,16.0,16.0,17.0,19.0,20.0,21.0,23.0,16.0,21.0,22.0,50.0,18.0,25.0,25.0,25.0,25.0,22.0,17.0,15.0,19.0,19.0,18.0,15.0,11.0,13.0,16.0,15.0,24.0,14.0,17.0,26.0,19.0,34.0,32.0,30.0,29.0,29.0,12.0,13.0,12.0,14.0,19.0,29.0,16.0,25.0,28.0,24.0,27.0,22.0,18.0,27.0,30.0,33.0,21.0,18.0,17.0,10.0,23.0
PKB67,16.0,11.0,14.0,11.0,11.0,12.0,15.0,13.0,10.0,10.0,16.0,9.0,13.0,9.0,9.0,13.0,13.0,15.0,13.0,13.0,14.0,14.0,21.0,13.0,18.0,28.0,17.0,19.0,18.0,18.0,15.0,15.0,9.0,13.0,15.0,15.0,9.0,11.0,10.0,9.0,12.0,17.0,10.0,12.0,17.0,14.0,19.0,20.0,21.0,15.0,16.0,12.0,9.0,12.0,9.0,12.0,18.0,10.0,16.0,17.0,15.0,18.0,9.0,11.0,15.0,15.0,20.0,14.0,14.0,13.0,7.0,18.0
PKB68,21.0,24.0,20.0,21.0,24.0,20.0,19.0,22.0,22.0,21.0,19.0,18.0,18.0,18.0,22.0,21.0,18.0,19.0,14.0,16.0,26.0,16.0,27.0,23.0,25.0,17.0,59.0,26.0,32.0,31.0,24.0,17.0,12.0,20.0,26.0,17.0,14.0,14.0,13.0,18.0,17.0,28.0,12.0,19.0,26.0,20.0,38.0,37.0,38.0,30.0,33.0,18.0,13.0,19.0,16.0,20.0,33.0,17.0,28.0,33.0,31.0,35.0,20.0,18.0,26.0,26.0,37.0,18.0,19.0,17.0,11.0,31.0
